,Source,ddof1,ddof2,F,p-unc,np2,"('control', '7d')","('control', '14d')","('7d', '14d')",X868-ready.bam,X36-ready.bam,X679-ready.bam,X582-ready.bam,X1247-ready.bam,X1249-ready.bam,X838-ready.bam,X839-ready.bam,X840-ready.bam,gene,var
64033404,type,2,6,6.134492163422326,0.03542505567953416,0.6715745170801021,0.06627424426538409,0.04251198460757866,0.9,30.927835051546392,83.33333333333333,40.38461538461539,28.37837837837838,44.11764705882353,58.333333333333336,66.66666666666667,60.0,70.0,Klf7,350.2305743622743
35320951,type,2,5,5.534879376366477,0.05400097714424003,0.6888565611385012,0.046660217233525314,0.2796119254521323,0.49123368531594613,24.0,54.257907542579076,44.02985074626866,37.17948717948718,72.04441541476159,59.0,43.333333333333336,,58.13953488372093,H2-Q1,223.39425136599363
35380188,type,2,5,4.332192023321271,0.08099344312276541,0.6340852260202287,0.40473176841113967,0.29935724377357276,0.06998793372334278,4.3478260869565215,10.75268817204301,32.6530612244898,29.62962962962963,9.67741935483871,9.45945945945946,32.142857142857146,44.89795918367347,,H2-Q4,220.76597351518777
35382866,type,2,6,50.002652938803784,0.0001813305340279932,0.943399059600587,0.001,0.001,0.13484559979342703,28.063241106719367,3.100158982511924,35.400516795865634,31.656184486373167,0.7054673721340388,3.202195791399817,3.349282296650718,12.609970674486803,12.030075187969924,H2-Q4,187.1260771504495
35382944,type,2,6,9.269818867803265,0.014616699197490125,0.7554976131006972,0.015798571558061525,0.03777222665663926,0.7309622552301724,23.318385650224215,1.4434643143544508,11.387900355871887,11.936339522546419,0.11487650775416428,1.3032422123331213,1.5544041450777202,7.766990291262136,1.694915254237288,H2-Q4,59.793438944315106
35380094,type,2,6,8.173934393169114,0.019352871493745958,0.7315180227088169,0.044989053866302586,0.8019095415528859,0.0216007533068715,0.7731958762886598,2.2083533365338455,1.3268998793727382,0.4282655246252677,4.23100679431748,2.006996869821396,0.22271714922049,0.6437768240343348,0.4983388704318937,H2-Q4,1.6427873550701377
191171666,type,2,6,7.755841905793285,0.02169854103320266,0.7210818059361631,0.9,0.034031297156215,0.03173476339064707,0.23596035865974516,0.042710706150341685,0.24821141772521535,0.2750724853170768,0.24372410431391664,0.37053182214472535,2.7491408934707904,3.0837004405286343,0.8207934336525308,Atf3,1.3620416552860708
85477238,type,2,5,7.930135608271113,0.028127111463590985,0.7603099236775506,0.8378345631027239,0.028995180747749094,0.048468972057557846,1.257445400397088,1.3966480446927374,1.7341040462427746,0.6551518761167362,0.6944444444444444,2.4734982332155475,3.3333333333333335,3.75,,Fos,1.3573567919410272
53776424,type,2,4,18.949333429573258,0.009114221381244474,0.9045315686666819,0.9,0.0133270914037259,0.011377903746429552,0.6983849847228285,0.6963788300835655,0.04950495049504951,,0.3700962250185048,0.2876945207270825,2.3076923076923075,1.8404907975460123,,Irf1,0.7211558205381206
191172423,type,2,5,9.687537668485351,0.019057243985560496,0.7948724288693259,0.9,0.023856071833266435,0.02564119205391291,0.0909767595732363,0.13570822731128074,0.20804438280166435,0.0557361820715281,0.16939582156973462,0.12588116817724068,2.0833333333333335,,0.8982035928143712,Atf3,0.4986602346163741
69405799,type,2,5,4.854553723705319,0.06736886176855751,0.6600745478353147,0.9,0.07507702998244492,0.0937997043045351,0.49358341559723595,0.48484848484848486,0.22675736961451248,0.713436385255648,0.9478672985781991,0.24752475247524752,1.098901098901099,2.255639097744361,,Kdm6b,0.4377207338646661
25224191,type,2,5,12.721948437989967,0.01093136524463378,0.8357634694280884,0.009923288299149347,0.46898918118782085,0.05613127627641168,0.48055919615552645,1.722488038277512,0.1631986944104447,0.36101083032490977,1.4814814814814814,1.0537870472008781,0.44543429844098,,0.8488964346349746,Tubb4b,0.31501587119672164
35380430,type,2,6,12.933192500601402,0.0066750627783538664,0.8117138169336269,0.006143699278871151,0.029943582811860825,0.3724684967674362,1.7647058823529411,0.26057088712542936,0.9211873080859775,1.2189616252821671,0.11170688114387846,0.25491624180626365,0.33769523005487545,0.5964912280701754,0.6601697579377555,H2-Q4,0.2911683505247232
191177310,type,2,5,10.554794248157215,0.016048148819352823,0.808499471345334,0.7809331124085646,0.029193622892266013,0.01646629532464816,0.6258866727864475,0.4644681839294008,0.632484398718165,0.32583239995927094,0.24264482863208978,0.44695365796283226,,1.794871794871795,1.0781671159029649,Atf3,0.26006751470086836
191170929,type,2,5,8.517149305385601,0.02452883568789784,0.7730810456768608,0.9,0.035501074286390266,0.028461511643920745,0.16352201257861634,0.061124694376528114,0.06978367062107467,0.23233565668990022,0.12468827930174564,0.11563367252543941,,0.6269592476489029,1.477832512315271,Atf3,0.2377641116176945
19015228,type,2,5,4.6686979819839545,0.07182064679535177,0.6512616368714533,0.21691902579117406,0.06754478544273601,0.49292190356435417,0.44981726173741915,0.6600660066006601,0.5747126436781609,0.052812252442566675,1.3806706114398422,0.6314127861089187,,1.408450704225352,1.1142061281337048,Tnfaip3,0.22624969995398556
191177286,type,2,4,8.943201949631984,0.033401899385578186,0.8172381347611647,0.9,0.048138561671731916,0.039768629556899526,0.12559658377292138,0.042598509052183174,0.06100749520655395,,0.12453300124533001,0.1927266633148986,1.3071895424836601,,0.6369426751592356,Atf3,0.21704200180769054
191171018,type,2,5,28.449894354344078,0.0018543943456222427,0.9192242800127974,0.7215607785875182,0.002047647140991482,0.003280522288539145,0.36769367313300366,0.4576659038901602,0.3732241752949675,0.4971590909090909,0.6298449612403101,0.42908500521860143,1.1627906976744187,,1.5424164524421593,Atf3,0.18811190755393778
119974287,type,2,4,18.90685581079578,0.009151294743426476,0.9043376001585447,0.34807305328445715,0.008087139466221527,0.03185618528209,0.263042525208242,,0.03611412062116288,0.030609121518212427,0.29239766081871343,0.3356831151393085,1.0362694300518134,0.7434944237918215,,Csrnp1,0.13760099500174974
19304683,type,2,5,17.191357647371408,0.005743291656031609,0.8730407499183417,0.8042705609848564,0.006275629150835016,0.009895534951568363,0.20715549609425576,0.23356300362022656,0.09594473583216068,0.0733209502395151,0.03713330857779428,0.3159648417303384,0.9687836383207751,0.6703910614525139,,Fosb,0.10782247102555363
55491677,type,2,5,4.1730207846758445,0.08591002150929664,0.6253570787998913,0.6627468203476478,0.19321013178585555,0.07693126548829887,0.25501718594079165,0.17292062943109113,0.6929406669553919,0.2713939253955422,0.382262996941896,0.18790685188913495,,0.6075334143377886,1.023391812865497,Nfkbia,0.09036887738567864
19302949,type,2,5,8.856020512161383,0.02273969319654429,0.7798524582337008,0.9,0.0410191533244294,0.030979042081374364,0.04410218136173966,0.02991026919242273,,0.08369418871220116,0.09115770282588878,0.1145475372279496,0.7177033492822966,0.3115264797507788,0.43466449334419993,Fosb,0.05928204021193615
